"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"187","Syrian Arab Republic","SYR",4.55044548432433,20.0258683461609,17806638,16.40245009,-7,NA,2.4,1.22377543162212,16.6950818670927,1408.852738,7.25053099117753
"188","Turks and Caicos Islands","TCA",NA,NA,25028,NA,NA,NA,0,0,10.1277504771183,NA,NA
"189","Chad","TCD",28.7185210652368,33.6270093357697,9710043,NA,-2,0.862,10.7,2.45958884180371,16.088671268682,454.6765879,6.11958637039165
"190","Togo","TGO",-0.523067643585733,0,5534598,15.31041268,-2,NA,10.9,2.47653840011748,15.526529492761,349.9937253,5.85791522660847
"191","Thailand","THA",5.55791416405769,0.786479727039115,65002231,14.8533544,9,NA,7.3,2.11625551480255,17.9899321503478,2659.839108,7.88602091423212
"192","Tajikistan","TJK",8.06595066734086,0.0795327055042463,6712841,NA,-3,NA,NA,NA,15.7195328172538,309.2801834,5.73424760845002
"193","Turkmenistan","TKM",3.93649483293852,20.9345852809827,4703398,NA,-9,NA,4.9,1.77495235091167,15.3637957841805,1453.917166,7.28201668673198
"194","Timor-Leste","TLS",-2.62515541683879,NA,996698,NA,NA,NA,4.6,1.7227665977411,13.8122030943317,444.3430043,6.09659679639002
"195","Tonga","TON",-0.963765619577416,NA,100406,NA,NA,NA,4,1.6094379124341,11.5169772454103,2284.307858,7.73381835065941
"196","Trinidad and Tobago","TTO",7.40730907314963,7.60675897424447,1290535,22.02505646,10,NA,29.8,3.42751468997953,14.0705674190439,10290.51914,9.23897827847872
"197","Tunisia","TUN",5.40942718078192,2.53735946168106,10017601,18.67214575,-4,NA,2.6,1.28093384546206,16.1198542037975,3112.835029,8.04328917481957
"198","Turkey","TUR",8.13557765139707,0.0795169528887435,67007855,NA,7,NA,4.9,1.77495235091167,18.0203204092893,6040.88491,8.70630578847572
"199","Tuvalu","TUV",-2.61843065896996,NA,9894,NA,NA,NA,0,0,9.19968379178765,2176.564747,7.6855031087695
"200","Tanzania","TZA",4.73025422576316,NA,38249984,NA,-1,NA,NA,NA,17.4596536999361,345.189237,5.84409277969655
"201","Uganda","UGA",3.15142152021966,NA,27568436,NA,-4,NA,8.9,2.29253475714054,17.132182053063,288.0236949,5.66304275070996
"202","Ukraine","UKR",12.9536558393461,0.654077767032296,47451600,13.27565613,6,NA,6.5,2.01490302054226,17.6752208021567,1367.352433,7.22063161841858
"203","Uruguay","URY",5.05283868578934,0,3324096,17.84620462,10,NA,5.7,1.90210752639692,15.0167083154069,4117.308853,8.32295503790196
"204","United States","USA",2.82965348869607,0.276751659838538,292805298,9.492625945,10,NA,5.7,1.90210752639692,19.49501843415,41921.80976,10.6435614898188
"205","Uzbekistan","UZB",6.46453148592587,1.08479202503603,25864350,NA,-9,NA,3.6,1.52605630349505,17.0683761306188,465.1198869,6.14229519364748
"206","St. Vincent and the Grenadines","VCT",3.9557604877639,NA,108559,20.64118567,NA,NA,21.1,3.09557760852371,11.5950490829704,4808.215911,8.47808138182075
"207","Venezuela, RB","VEN",16.2256867455484,20.4321248059042,26327225,NA,6,NA,37.2,3.64283551561253,17.0861141328305,4271.372404,8.35969046067179
"208","British Virgin Islands","VGB",NA,NA,22541,NA,NA,NA,NA,NA,10.023091152182,NA,NA
"209","Virgin Islands (U.S.)","VIR",2.97667222795658,NA,107950,NA,NA,NA,32.5,3.51154543883102,11.589423435943,35024.47749,10.4638024528926
"210","Vietnam","VNM",6.53219113789014,7.13323635360111,81436400,21.65811323,-7,NA,1.3,0.832909122935104,18.2153329054672,543.8658871,6.29870268539599
"211","Vanuatu","VUT",1.34671656757794,NA,204143,NA,NA,NA,2.5,1.25276296849537,12.2265760076465,1787.947023,7.48882332609988
"212","Samoa","WSM",3.97014837155901,NA,178781,NA,NA,NA,NA,NA,12.093916872093,2351.033814,7.76261043125246
"213","Kosovo","XKX",2.54253970667145,0,1704622,NA,NA,NA,NA,NA,14.3488539432407,2135.332847,7.66637781374574
"214","Yemen, Rep.","YEM",1.09000773798213,33.0170733562321,20017068,NA,-2,NA,4.6,1.7227665977411,16.8120958675795,693.0835669,6.54115057907714
"215","South Africa","ZAF",3.25722577866814,0.114119951345452,47001700.99,24.28209502,9,NA,38.9,3.68637632389582,17.665694350296,4745.071685,8.46486181841147
"216","Zambia","ZMB",4.20633931956473,0,11731746,15.31705863,5,NA,NA,NA,16.2778090586576,530.2772217,6.27339992960939
"217","Zimbabwe","ZWE",-6.86622306563361,0,12777511,NA,-4,NA,10.4,2.43361335540045,16.3631972305125,454.3606654,6.11889129983965
