"","X","name","GEOID","year.x","parent.location","population","poverty.rate","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","renter.occupied.households","eviction.filings","evictions","eviction.rate","eviction.filing.rate","imputed","subbed","Composite.Bottom.Order","Composite.Index","Composite.Score","Composite.Top.Order","Civil.Legal.Aid","Disabilities","LEP","Limited.English","Median.Income.2012","Number.of.Attorneys.Per.10.000.People","Number.of.Civil.Legal.Aid.Attorneys.Per.10.000.People.In.Poverty","Number.of.Records","Percent.of.People.with.Disabilities","Population","Region","Self.Represented","State.Abb","Weight","year.y","median.household.income.1000s","LCivil.Legal.Aid","State","Year","State Spending","Local Spending","State and Local Spending","Gross State Product","Real State Growth %","Population (million)"
"88",31417,"Oklahoma",40,2016,"USA",3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,515013,42251,21814,4.24,8.2,0,0,44,29.08829317,116.3531727,9,4.747395121,62.5,23.9,11.23595506,47199,34.72104931,0.474739512,1,16.1,3878051,"South",37.86982249,"OK",1,2016,46.879,-0.744989021160938,"Oklahoma",2016,409.5,76.5,485.9,46653.2,-2.3,3.9
"89",31893,"Oregon",41,2016,"USA",3939233,11.19,38.72,907,51243,237300,32.1,77.25,1.75,12.33,0.92,3.92,0.36,3.32,0.14,641543,18805,7038,1.1,2.93,0,0,12,49.59432344,198.3772938,41,9.853148645,58.33333333,23.2,77.52808989,58875,31.39357605,0.985314864,1,15.2,3970239,"West",52.66272189,"OR",10,2016,51.243,-0.0147940300068151,"Oregon",2016,746.6,154.3,900.8,55511.9,3.3,4.1
"90",32250,"Pennsylvania",42,2016,"USA",12779559,9.29,30.79,840,53599,166000,30.3,78.09,10.54,6.38,0.11,3.05,0.02,1.65,0.15,1655031,87898,29257,1.77,5.31,0,0,39,31.97925537,127.9170215,14,5.901179604,51.38888889,17.7,40.4494382,55173,38.31328635,0.59011796,1,13.8,12787209,"Northeast",30.17751479,"PA",1,2016,53.599,-0.527432829862761,"Pennsylvania",2016,496.5,327.3,823.8,56692.8,1.1,12.8
"91",34511,"Rhode Island",44,2016,"USA",1053661,10.11,39.87,925,56852,238000,30.6,74.53,5.34,13.65,0.37,3.19,0.03,2.19,0.7,165333,8346,5069,3.07,5.05,0,0,20,43.24167697,172.9667079,33,7.323262917,65.27777778,20.2,82.02247191,58633,40.03135031,0.732326292,1,14,1055173,"Northeast",18.34319527,"RI",1,2016,56.852,-0.31152911024131,"Rhode Island",2016,853.8,195.6,1049.4,54306.6,1.2,1.1
"92",34630,"South Carolina",45,2016,"USA",4777576,13.49,31.41,790,45483,139900,31.1,63.86,27.3,5.32,0.29,1.39,0.05,1.68,0.11,463545,86682,41099,8.87,18.7,0,0,40,31.55449463,126.2179785,13,2.435761015,41.66666667,21.2,24.71910112,44929,20.75744928,0.243576101,1,14.8,4832482,"South",57.3964497,"SC",1,2016,45.483,-1.41232585551262,"South Carolina",2016,251.6,72.5,324,42283,2.1,5
"93",35463,"South Dakota",46,2016,"USA",843190,9.1,31.93,655,50957,140500,26,83.22,1.52,3.31,8.3,1.2,0.04,2.34,0.08,109252,574,NA,NA,0.53,0,0,48,25.20374141,100.8149656,5,4.424543897,41.66666667,17.4,16.85393258,53053,22.72687315,0.44245439,1,12.1,853175,"Midwest",37.86982249,"SD",10,2016,50.957,-0.815417893292913,"South Dakota",2016,500,81,581,55875.4,1.7,0.9
"94",35820,"Tennessee",47,2016,"USA",6499615,13.23,33.23,764,45219,142100,30.3,74.73,16.67,4.92,0.22,1.56,0.05,1.74,0.11,703544,46907,19556,2.78,6.67,0,0,9,51.506003,206.024012,44,3.39757979,70.83333333,21.4,69.66292135,43716,27.43019462,0.339757979,1,15.7,6549352,"South",62.13017752,"TN",1,2016,45.219,-1.07952174131127,"Tennessee",2016,343,106.2,449.1,49443.6,2,6.6
"95",36891,"Texas",48,2016,"USA",26538614,13.45,37.77,882,53207,136000,29.3,43.84,11.57,38.42,0.25,4.19,0.07,1.53,0.13,3474100,165708,75431,2.17,4.77,0,0,36,33.33093024,133.323721,17,2.969190028,62.5,23.7,25.84269663,53875,32.0859646,0.296919003,1,11.7,26956958,"South",42.01183432,"TX",1,2016,53.207,-1.21429589454524,"Texas",2016,270.7,69.8,340.5,57939.6,0.4,27.9
"96",37962,"Utah",49,2016,"USA",2903379,9.15,30.53,887,60727,215900,29,79.5,1.01,13.43,0.95,2.17,0.88,1.91,0.15,301260,6590,2787,0.93,2.19,0,0,21,41.03694986,164.1477994,32,3.623694939,65.27777778,18.3,33.70786517,63383,28.58742833,0.362369494,1,9.6,2942902,"West",61.53846154,"UT",1,2016,60.727,-1.01509088606065,"Utah",2016,300.1,114.3,414.4,51358.6,3,3
"97",38676,"Vermont",50,2016,"USA",626604,7.34,29,895,55176,217500,30.9,93.61,1.07,1.71,0.3,1.39,0.03,1.8,0.1,42185,39,39,0.09,0.09,0,0,43,29.90809727,119.6323891,10,7.24892242,48.61111111,8.5,24.71910112,60708,36.26137557,0.724892242,1,14.8,626562,"Northeast",39.05325444,"VT",1,2016,55.176,-0.32173226689839,"Vermont",2016,940.8,96.7,1037.6,49878.6,0.8,0.6
"98",38914,"Virginia",51,2016,"USA",8256630,8.22,33.82,1116,65015,245000,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,1012175,146534,51821,5.12,14.48,0,0,25,39.06547354,156.2618942,28,5.993368863,44.44444444,17.1,57.30337079,66155,28.89882876,0.599336886,1,11.5,8326289,"South",48.52071006,"VA",5,2016,65.015,-0.511931424938808,"Virginia",2016,265.3,288.6,553.8,58750.5,0.6,8.4
"99",40104,"Washington",53,2016,"USA",6985464,8.85,37.5,1014,61062,259500,30,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,968615,14166,7904,0.82,1.46,0,0,15,47.33598755,189.3439502,38,10.92450039,84.72222222,21.6,51.68539326,59068,35.18217723,1.092450039,1,13,7061530,"West",42.01183432,"WA",1,2016,61.062,0.0884229160494705,"Washington",2016,571.9,164.8,736.7,64516.3,3.7,7.3
"100",43793,"West Virginia",54,2016,"USA",1851420,13.07,27.48,643,41751,103800,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,234658,10314,8268,3.52,4.4,0,0,19,43.54373647,174.1749459,34,6.294190318,72.22222222,13.4,37.07865169,39552,26.57910012,0.629419032,1,19.9,1850326,"South",58.57988166,"WV",1,2016,41.751,-0.462958056486788,"West Virginia",2016,526.8,66.4,593.3,40124.9,-0.9,1.8
"101",43912,"Wisconsin",55,2016,"USA",5742117,8.63,32.7,776,53357,165800,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,787739,26508,14871,1.89,3.37,0,0,10,50.98753097,203.9501239,43,3.717795959,72.22222222,18.9,62.92134832,58080,26.88810754,0.371779596,1,11.9,5757564,"Midwest",65.0887574,"WI",1,2016,53.357,-0.989454084167886,"Wisconsin",2016,338.3,349.6,687.9,53618.6,1.1,5.8
"102",44269,"Wyoming",56,2016,"USA",579679,7.69,30.94,789,58840,194800,25.6,84.47,1.03,9.61,1.9,0.89,0.07,2.01,0.02,42997,382,377,0.88,0.89,0,0,51,20.77011235,83.08044941,2,6.399765505,20.83333333,13.2,17.97752809,55690,30.43723134,0.63997655,1,12.4,584153,"West",37.86982249,"WY",5,2016,58.84,-0.446323743924704,"Wyoming",2016,557.9,45.4,603.3,64724.5,-3.6,0.6
